15412;2401:4800:3021::/48;0:00:09;0123;0123;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:09;0123;0123;['15412', '18101', '38457']
15412;198.81.233.0/24;0:00:00;0123;0123;['15412', '9304', '3605']
15412;2401:4800:2011::/48;0:00:06;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:06;0123;0123;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:02;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:02;0123;0123;['15412', '18101', '38457']
15412;14.191.224.0/20;0:00:00;0123;0123;['15412', '9304', '45899', '45899', '45899']
15412;14.250.144.0/20;0:00:00;0123;0123;['15412', '9304', '45899', '45899']
15412;222.254.96.0/19;0:00:00;0123;0123;['15412', '9304', '45899', '45899']
15412;2401:4800:3021::/48;0:00:02;0123;0123;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:02;0123;0123;['15412', '18101', '38457']
15412;84.255.138.0/24;0:00:31;0123;0123;['15412', '5416', '5416', '5416', '5416', '5416', '5416']
15412;103.123.26.0/24;0:00:31;0123;0123;['15412', '4826', '138323', '138323', '138323']
15412;2401:4800:3021::/48;0:00:07;0123;0123;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:07;0123;0123;['15412', '18101', '38457']
15412;210.213.77.0/24;0:00:34;0123;0123;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:33;0123;0123;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:11;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:12;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:25;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:34;0123;0123;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:13;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:33;0123;0123;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:08;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:05;0123;0123;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:24;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;43.255.29.0/24;0:00:01;0123;0123;['15412', '9381', '133199']
15412;210.213.77.0/24;0:00:51;0123;0123;['15412', '9304', '55821', '131180']
15412;103.20.81.0/24;0:00:02;0123;0123;['15412', '9304', '55329', '24492', '131331', '131331', '131331']
15412;210.213.77.0/24;0:00:01;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;103.20.81.0/24;0:00:01;0123;0123;['15412', '9304', '55329', '24492', '131331', '131331', '131331']
15412;210.213.77.0/24;0:00:01;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:19;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:32;0123;0123;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:11;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:01;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:32;0123;0123;['15412', '9304', '55821', '131180']
15412;210.213.77.0/24;0:00:09;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:05;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:32;0123;0123;['15412', '9304', '55821', '131180']
15412;103.79.119.0/24;0:00:08;0123;0123;['15412', '18101', '9885', '55824', '136005']
15412;210.213.77.0/24;0:00:01;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:09;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;210.213.77.0/24;0:00:22;0123;0123;['15412', '9304', '55821', '55821', '131180']
15412;103.79.119.0/24;0:00:16;0123;0123;['15412', '18101', '9885', '55824', '136005']
15412;103.104.24.0/22;0:00:07;0123;0123;['15412', '9304', '45903', '45903', '45903', '45903', '135929']
15412;103.43.228.0/24;0:00:03;0123;0123;['15412', '18101', '133686']
15412;203.17.236.0/24;0:00:31;0123;0123;['15412', '4826', '17632']
15412;202.41.147.0/24;0:00:05;0123;0123;['15412', '6648', '24081', '24081', '24081', '24081', '24081', '24081']
15412;103.104.24.0/22;0:00:01;0123;0123;['15412', '9304', '45903', '45903', '45903', '45903', '135929']
15412;103.104.24.0/22;0:00:44;0123;0123;['15412', '9304', '45903', '45903', '45903', '45903', '135929']
15412;2401:b80::/32;0:00:49;0123;0123;['15412', '133334']
15412;203.30.201.0/24;0:00:30;0123;0123;['15412', '4826', '9822']
15412;101.99.22.0/24;0:00:01;0123;0123;['15412', '9304', '45903']
15412;203.157.15.0/24;0:00:30;0123;0123;['15412', '45629', '9649']
15412;158.144.22.0/23;0:00:03;0123;0123;['15412', '18101', '132524']
15412;158.144.22.0/23;0:00:01;0123;0123;['15412', '18101', '132524']
15412;2401:4800:2011::/48;0:00:05;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:05;0123;0123;['15412', '18101', '38457']
15412;203.158.200.0/22;0:00:01;0123;0123;['15412', '9304', '45629', '37932', '37932']
15412;2401:4800:2011::/48;0:00:09;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:09;0123;0123;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:14;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:14;0123;0123;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:11;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:11;0123;0123;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:11;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:11;0123;0123;['15412', '18101', '38457']
15412;2401:4800:2011::/48;0:00:11;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:11;0123;0123;['15412', '18101', '38457']
15412;203.155.44.0/24;0:00:29;0123;0123;['15412', '45629', '7693', '135620']
15412;103.76.185.0/24;0:00:20;0123;0123;['15412', '9304', '132167', '135307']
15412;74.50.211.0/24;0:00:18;0123;0123;['15412', '9304', '132167', '132167', '132167', '132167', '132167', '132167']
15412;2401:4800:2011::/48;0:00:12;0123;0123;['15412', '18101', '38457']
15412;2401:4800:3021::/48;0:00:12;0123;0123;['15412', '18101', '38457']
15412;103.57.226.0/24;0:00:25;0123;0123;['15412', '18101', '134029', '134029', '134029', '134029', '134029']
15412;41.40.0.0/19;0:00:00;0123;0123;['15412', '8452']
